Age,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain
All ages,8813118,7334251,945421,78592,338584,9395,99482
Less than 10,154345,130947,15271,1188,5105,149,1538
10-11,37781,33293,3816,98,416,61,66
12-13,100345,87355,11089,295,1231,117,199
14-15,384757,326568,49257,1260,5876,336,1205
16-17,734926,617364,96013,2728,14206,643,3501
18-19,1376365,1150534,173336,6113,35223,1282,8991
20-21,1717006,1431218,198471,9127,57688,1548,17730
22-23,1290117,1076345,125491,9204,56556,1163,20443
24-25,1156615,961260,100776,12380,60395,1273,19618
26-27,670792,559192,46671,10855,40177,810,12537
28-29,435141,359129,33373,9303,25939,639,6326
30-31,239041,190136,25929,6418,13457,410,2456
32-33,89024,69468,10497,2925,4928,237,863
34 +,86273,63645,13728,2894,4891,252,742
Not stated,340590,277797,41703,3804,12496,475,3267
